,amino_acid,lipid,nucleotide,StromalScore,ImmuneScore,ESTIMATEScore,TumourPurity
TCGA.FV.A3I0.01A.11R.A22L.07,0.213580142980253,0.146115654652338,0.0152487081413266,-751.08441422592,-86.5687104089495,-837.653124634869,0.886055943748406
TCGA.BD.A3ER.01A.11R.A213.07,0.760029863769492,0.765005747271639,0.688364811029754,-124.011396538428,123.066538985642,-0.944857552786246,0.822588251285108
TCGA.CC.5261.01A.01R.A131.07,0.36172031222675,0.523110310599848,0.0219593713482809,-87.9404203796524,599.199685980172,511.259265600519,0.777551256722689
TCGA.DD.AAVZ.01A.11R.A41C.07,0.806481840989424,0.765888955214746,0.552156735855786,-992.151226718851,-423.311824221193,-1415.46305094004,0.922142474778075
TCGA.DD.AADN.01A.11R.A41C.07,0.755395634873815,0.452055281745445,0.796030069300018,-928.813209594072,1369.00793601126,440.194726417187,0.784068333302392
TCGA.DD.A1EB.01A.11R.A131.07,0.667122233586848,0.823660522835723,0.656883512068794,-784.692624545205,-446.591740051197,-1231.2843645964,0.911348153626766
TCGA.LG.A9QD.01A.11R.A38B.07,0.828170389391778,0.827793503788075,0.708408849250855,-945.227928665853,-64.2128409539784,-1009.44076961983,0.89746280436913
TCGA.G3.A25T.01A.11R.A16W.07,0.37681688334826,0.395584289882586,0.437364708775651,-673.523648568308,-138.972448482819,-812.496097051127,0.884338022885897
TCGA.XR.A8TE.01A.11R.A36F.07,0.571151965474865,0.601119225579217,0.154554501204644,-680.635959085929,-449.987324784691,-1130.62328387062,0.905166601046091
TCGA.DD.AACA.01A.11R.A41C.07,0.689748224255299,0.674953273684408,0.355390907765625,-1228.32233512035,-680.610137510119,-1908.93247263047,0.947721570966318
TCGA.FV.A4ZQ.01A.11R.A266.07,0.680681752479011,0.61911200551338,0.702111514241095,-878.248882220493,1167.64243592406,289.393553703564,0.797614289668498
TCGA.DD.AAD5.01A.11R.A41C.07,0.470101542625417,0.394846309198145,0.707601653467611,-964.425452719182,388.256374108317,-576.169078610865,0.867614259833432
TCGA.K7.A5RF.01A.11R.A28V.07,0.873062410243306,0.82497877954797,0.471121071065293,150.497626285103,717.880639075659,868.378265360762,0.74353495468181
TCGA.DD.AADA.01A.11R.A41C.07,0.636543915038989,0.515512818397972,0.0712887305696226,-507.908072663973,357.133578829623,-150.77449383435,0.834894494285854
TCGA.MI.A75I.01A.11R.A32O.07,0.66983903022264,0.745901141349321,0.592218747527284,-1232.79317737165,-265.432479281872,-1498.22565665353,0.926773998779666
TCGA.DD.AAD0.01A.11R.A41C.07,0.678126190976649,0.736249868607989,0.590936442032214,-1373.98061166111,-876.147572896431,-2250.12818455754,0.962508114157943
TCGA.DD.AACN.01A.11R.A41C.07,0.65576264319229,0.52507156492353,0.287123646759004,-491.189025749606,-217.906916878876,-709.095942628482,0.877150654903366
TCGA.DD.AAW0.01A.11R.A41C.07,0.78157713751154,0.789377995070955,0.420844916936987,-272.373743684059,518.721420916833,246.347677232775,0.801409539559955
TCGA.BC.A10R.01A.11R.A131.07,0.725829026747862,0.648479614586925,0.343357943182454,-304.702411229714,-334.609970752845,-639.312381982559,0.872185677065499
TCGA.DD.AAD3.01A.11R.A41C.07,0.72778778709885,0.767644398345235,0.310387836681033,-175.697297142124,113.18000830798,-62.5172888341441,0.827693996825324
TCGA.2Y.A9GZ.01A.11R.A39D.07,0.851966899878499,0.816023996994647,0.598381644303516,-1103.26181192877,-799.991220045651,-1903.25303197442,0.947455216930811
TCGA.DD.A11B.01A.11R.A131.07,0.766990385762371,0.84551522199733,0.59826202048516,-977.765787093341,-691.610549498383,-1669.37633659172,0.935917211618245
TCGA.DD.AAVU.01A.11R.A41C.07,0.853597909416989,0.652017536659953,0.756394156066242,-1240.03160353403,-489.428657031727,-1729.46026056575,0.938987219264466
TCGA.XR.A8TG.01A.11R.A36F.07,0.689495109969391,0.705787766547616,0.578207896787741,-777.752602543593,-208.546963011477,-986.299565555071,0.895959307890698
