Gene Symbol,Metabolic Super-Pathway
ACO2,TCA cycle
NDUFAB1,TCA cycle
ATP5G1,TCA cycle
ATP5G2,TCA cycle
ATP5G3,TCA cycle
ATP5A1,TCA cycle
ATP5B,TCA cycle
ATP5D,TCA cycle
ATP5E,TCA cycle
ATP5F1,TCA cycle
ATP5C1,TCA cycle
ATP5I,TCA cycle
ATP5J2,TCA cycle
ATP5L,TCA cycle
ATP5O,TCA cycle
ATP5H,TCA cycle
ATP5J,TCA cycle
ATP5S,TCA cycle
BSG,TCA cycle
SDHC,TCA cycle
NDUFAF1,TCA cycle
CS,TCA cycle
COX7A2L,TCA cycle
COX5A,TCA cycle
COX5B,TCA cycle
COX6A1,TCA cycle
COX6B1,TCA cycle
COX6C,TCA cycle
COX7B,TCA cycle
COX7C,TCA cycle
COX8A,TCA cycle
COX11,TCA cycle
COX4I1,TCA cycle
CYC1,TCA cycle
CYCS,TCA cycle
SDHA,TCA cycle
SDHB,TCA cycle
SDHD,TCA cycle
DLD,TCA cycle
ETFA,TCA cycle
ETFB,TCA cycle
FH,TCA cycle
IDH3A,TCA cycle
IDH3B,TCA cycle
IDH3G,TCA cycle
IDH2,TCA cycle
LDHA,TCA cycle
LDHB,TCA cycle
LDHC,TCA cycle
LDHAL6B,TCA cycle
GLO1,TCA cycle
LRPPRC,TCA cycle
MDH2,TCA cycle
SLC16A1,TCA cycle
SLC16A8,TCA cycle
SLC16A3,TCA cycle
NDUFA7,TCA cycle
NDUFC2,TCA cycle
NDUFA12,TCA cycle
NDUFB3,TCA cycle
NDUFA6,TCA cycle
NDUFB4,TCA cycle
NDUFA13,TCA cycle
NDUFB6,TCA cycle
NDUFB7,TCA cycle
NDUFB9,TCA cycle
NDUFA2,TCA cycle
NDUFA3,TCA cycle
NDUFB8,TCA cycle
NDUFB10,TCA cycle
NDUFB2,TCA cycle
NDUFC1,TCA cycle
NDUFA1,TCA cycle
NDUFB1,TCA cycle
NDUFS5,TCA cycle
NDUFB5,TCA cycle
NNT,TCA cycle
NDUFS1,TCA cycle
NDUFV1,TCA cycle
NDUFS2,TCA cycle
NDUFA10,TCA cycle
NDUFA9,TCA cycle
NDUFA5,TCA cycle
NDUFS3,TCA cycle
NDUFV2,TCA cycle
NDUFS8,TCA cycle
NDUFS7,TCA cycle
NDUFA4,TCA cycle
NDUFS6,TCA cycle
NDUFV3,TCA cycle
NDUFA8,TCA cycle
NDUFS4,TCA cycle
OGDH,TCA cycle
DLST,TCA cycle
DLAT,TCA cycle
PDHA1,TCA cycle
PDHB,TCA cycle
PDHX,TCA cycle
PDK1,TCA cycle
PDK2,TCA cycle
PDK3,TCA cycle
PDK4,TCA cycle
PDP1,TCA cycle
PDP2,TCA cycle
PPARD,TCA cycle
RXRA,TCA cycle
SUCLA2,TCA cycle
SUCLG2,TCA cycle
SCO1,TCA cycle
SCO2,TCA cycle
SUCLG1,TCA cycle
SURF1,TCA cycle
TRAP1,TCA cycle
UCP1,TCA cycle
UCP2,TCA cycle
SLC25A27,TCA cycle
UQCRC1,TCA cycle
UQCRC2,TCA cycle
UQCRB,TCA cycle
UQCRH,TCA cycle
UQCRFS1,TCA cycle
UQCRQ,TCA cycle
UQCR10,TCA cycle
UQCR11,TCA cycle
ACAD9,TCA cycle
NDUFAF4,TCA cycle
NUBPL,TCA cycle
NDUFB11,TCA cycle
COX18,TCA cycle
TACO1,TCA cycle
LDHAL6A,TCA cycle
NDUFA11,TCA cycle
ECSIT,TCA cycle
NDUFAF3,TCA cycle
COX16,TCA cycle
COX19,TCA cycle
COQ10A,TCA cycle
COQ10B,TCA cycle
D2HGDH,TCA cycle
ADHFE1,TCA cycle
L2HGDH,TCA cycle
NDUFAF2,TCA cycle
TMEM126B,TCA cycle
PDPR,TCA cycle
SLC25A14,TCA cycle
UCP3,TCA cycle
ETFDH,TCA cycle
HAGH,TCA cycle
